TestCat,TestName,Severity
Application Permissions,Ensure calendar details sharing with external users is disabled,Executing
Application Permissions,Ensure calendar details sharing with external users is disabled,Passed
Application Permissions,Ensure Safe Links for Office Applications is Enabled,Executing
Application Permissions,Ensure Safe Links for Office Applications is Enabled,Medium
Application Permissions,Ensure Safe Attachments for SharePoint-OneDrive-Microsoft Teams is Enabled,Executing
Application Permissions,Ensure Safe Attachments for SharePoint-OneDrive-Microsoft Teams is Enabled,Medium
Application Permissions,Ensure user consent to apps accessing company data on their behalf is not allowed,Executing
Application Permissions,Ensure user consent to apps accessing company data on their behalf is not allowed,Medium
Application Permissions,Ensure Office 365 SharePoint infected files are disallowed for download,Executing
Application Permissions,Ensure Office 365 SharePoint infected files are disallowed for download,High
