SpoofedUser, SendingInfrastructure,MessageCount,LastSeen,SpoofType,Action
csa-compliance.com,kiswel.com,1,01/20/2023 12:16:24,External,Block
ciievents.in,cii.in,5,02/08/2023 09:13:50,External,Block
lenovosmb.in,ncdelivery01.com,2,01/29/2023 09:41:25,External,Block
gmail.com,mcsv.net,1,02/08/2023 08:22:36,External,Block
msn.com,metro.tokyo.jp,1,02/09/2023 03:24:26,External,Block
emazel.com,sendgrid.net,1,02/14/2023 05:56:41,External,Block
hostgator.in,livemailservice.com,7,01/30/2023 04:08:47,External,Allow
linkedprospect.com,acemsd1.com,1,02/13/2023 00:33:47,External,Allow
smartboxmedia.co,google.com,11,02/06/2023 14:04:57,External,Allow
labdhieassociates.com,google.com,10,02/06/2023 11:26:07,External,Allow
