SpoofedUser, SendingInfrastructure,MessageCount,LastSeen,SpoofType,Action
nirmal@dynamicpacks.net,websitewelcome.com,4,02/21/2023 00:28:43,Internal,Block
ciievents.in,cii.in,4,02/08/2023 09:13:50,External,Block
lenovosmb.in,ncdelivery01.com,1,01/29/2023 09:41:25,External,Block
gmail.com,mcsv.net,2,02/18/2023 10:36:49,External,Block
msn.com,metro.tokyo.jp,1,02/09/2023 03:24:26,External,Block
goactive.nz,outlook.com,1,02/15/2023 23:50:39,External,Block
parkinsonblunden.com.au,easy-mail-host.com,1,02/21/2023 12:26:52,External,Block
microsoft-assessment.com,websitewelcome.com,1,02/20/2023 01:25:00,External,Block
emazel.com,sendgrid.net,2,02/20/2023 08:23:10,External,Block
hostgator.in,livemailservice.com,5,01/30/2023 04:08:47,External,Allow
linkedprospect.com,acemsa5.com,1,02/16/2023 21:49:57,External,Allow
linkedprospect.com,acemsd1.com,1,02/13/2023 00:33:47,External,Allow
smartboxmedia.co,google.com,8,02/21/2023 10:41:03,External,Allow
faxhd.com,outlook.com,1,02/21/2023 19:03:59,External,Allow
labdhieassociates.com,google.com,9,02/18/2023 07:57:01,External,Allow
