FSLogix Setting, Container Type, Registry Entry, Expected Value, Remove
Test FSLogix Logging - Logging Status:Test checks to make sure FSLogix Logging is enabled, FSLogixLogging, LoggingEnabled, 2, Remove
Test FSLogix Logging - Directory Path:Test checks to make sure FSLogix Logging Dir is set to default location., FSLogixLogging, LogDir, %ProgramData%\FSLogix\Logs, Remove
Test FSLogix Logging - Log Files Keeping Period:Test checks to make sure FSLogix Logging period to keep log files is set to at least 30 days., FSLogixLogging, LogFileKeepingPeriod, 30, Remove
Test FSLogix Logging - Logging Level:Test checks to make sure FSLogix Logging Level is set to higher to record all activities for troubleshooting purposes., FSLogixLogging, LoggingLevel, 3, Remove
FSLogix Profile Container Exclude-Include Groups Test:Test checks if FSLogix Exclude/Include Groups are in use to avoid load on storage., ProfileContainer, PROFIncludeList, Everyone, Remove
FSLogix Cleanup Invalid Sessions-Both Containers:In cases where a user's session terminates abruptly- the VHD(x) mounted for the user's profile is not properly detached and the user's next login may not successfully attach their VHD(x) container. Enable this setting and FSLogix will attempt to clean up these invalid sessions and allow a successful sign-in. This setting affects both Profile and ODFC containers., ProfileContainer, CleanupInvalidSessions, 1, Remove
FSLogix Clean Out Notifications:Test checks if Cleanup of Notifications for Sessions are configured in both Profile and Office Containers., ProfileContainer, CleanOutNotifications, 1, Remove
FSLogix Profile Type (Profile Container):Test checks if FSLogix for host pools is configured to handle concurrent user sessions on the same machine. However it depends on the server., ProfileContainer, ProfileType, 0, Remove
FSLogix Profile Container Status:Test checks to see if Profile Container is enabled for host pools., ProfileContainer, Enabled, 1, Remove
FSLogix Profile Container VHD Locations:Test checks the configured location for storing profiles for users., ProfileContainer, VHDLocations, \\Server\Value, Remove
FSLogix Locked Retry Count (Profile Container):Test checks retries to perform when a VHD(X) file is locked - open by another process or computer., ProfileContainer, LockedRetryCount, 12, Remove
FSLogix Locked Retry Interval (Profile Container):Test checks the number of seconds to wait between retries - set by LockedRetryCount above., ProfileContainer, LockedRetryInterval, 10, Remove
FSLogix VHDX Sector Size (Profile Container):Sector size to use if the file being created is a VHDX. Currently can only be 512 (0x200) or 4096 (0x1000). Setting of 0 (default setting) results in system default being used., ProfileContainer, VHDXSectorSize, 0, Remove
FSLogix Volume Wait Attachment (Profile Container): Specifies the number of milliseconds the system should wait for the volume to arrive after the VHD(X) has been attached. Default value of 20000 = 20 seconds, ProfileContainer, VolumeWaitTimeMS, 20000, Remove
FSLogix Delete Local Profile When VHD Applies Setting (Profile Container):Test checks what is configured for Host Pools when FSLogix determines that a user should have a FSLogix profile but a local profile exists., ProfileContainer, DeleteLocalProfileWhenVHDShouldApply, 1, Remove
FSLogix Flip Flop Profile Directory Setting (Profile Container):Test checks what is configured for host pools for creating profile directories on Profile Shares. , ProfileContainer, FlipFlopProfileDirectoryName, 1, Remove
FSLogix Prevent Login With Failure Setting (Profile Container):Test checks if user is prevented login when a failure occurs while attaching an FSLogix container., ProfileContainer, PreventLoginWithFailure, 1, Remove
FSLogix Prevent Login With Temp Profile Setting (Profile Container):Test checks if user is prevented login when a user receives a temporary Windows profile., ProfileContainer, PreventLoginWithTempProfile, 1, Remove
FSLogix VHD(X) Attach Retry Count Setting (Profile Container):Test checks what happens when a VHD(x) volume is detached unexpectedly the FSLogix system will attempt to re-attach the volume. Test checks retry count configured., ProfileContainer, ReAttachRetryCount, 16, Remove
FSLogix VHD(X) Attach Retry Interval Setting (Profile Container):Test checks the number of seconds to wait between retries for volume re-attachment., ProfileContainer, ReAttachIntervalSeconds, 10, Remove
FSLogix Use of Dynamic VHDX Setting (Profile Container):Test checks if VHDX files are in use or VHD., ProfileContainer, IsDynamic, 1, Remove
